,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
0,2021,RegularSeason,2/1/21,7:30 PM ET,Mon,2/1/21 @ 7:30 PM ET,,Final,LAL,107,True,ATL,99,False,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/ATL.png,,,,,,,"Q1, Q2, Q3, Q4","25, 21, 30, 23","28, 22, 25, 32",1,185.0,-235.0,6.0,-6.0,-110,-110,218.5,-115.0,-105.0,,,,,214,-271,6.5,-6.5,-108,-114,219.0,-112,-109,,,,,210,-265,6.5,-6.5,-108,-114,219.0,-112,-109,,,,,245,-300,7.0,-7.0,-105,-115,218.5,-110,-110,,,,,210,-265,6.5,-6.5,-108,-114,219.0,-112,-109,,,,,,,,,,,,,,,,,,235,-300,7.0,-7.0,-110,-110,218.5,-115,-105,,,,,220,-278,6.5,-6.5,-110,-110,218.5,-110,-110,,,,,,,,,,,,,,,,,
1,2021,RegularSeason,2/1/21,7:30 PM ET,Mon,2/1/21 @ 7:30 PM ET,,F/OT,CHA,129,True,MIA,121,False,/assets/images/nba/logos/CHA.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4, OT","29, 28, 25, 31, 8","28, 26, 34, 25, 16",1,-210.0,176.0,-5.0,5.0,-110,-110,,,,,,,,-306,244,-7.5,7.5,-110,-110,215.0,-113,-109,,,,,-305,245,-7.5,7.5,-110,-110,215.0,-113,-109,,,,,-320,260,-7.5,7.5,-110,-110,216.0,-110,-110,,,,,-305,245,-7.5,7.5,-110,-110,215.0,-113,-109,,,,,,,,,,,,,,,,,,-320,245,-7.5,7.5,-110,-110,216.0,-115,-105,,,,,-303,240,-7.5,7.5,-110,-110,215.5,-110,-110,,,,,,,,,,,,,,,,,
2,2021,RegularSeason,2/1/21,8:00 PM ET,Mon,2/1/21 @ 8:00 PM ET,,Final,MIN,98,False,CLE,100,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","29, 23, 24, 24","29, 15, 23, 31",1,-215.0,180.0,-5.0,5.0,-110,-110,,,,,,,,-160,133,-3.5,3.5,-112,-110,222.0,-113,-109,,,,,-159,133,-3.5,3.5,-112,-109,222.0,-113,-109,,,,,-162,136,-3.5,3.5,-114,-106,221.5,-110,-110,,,,,-159,133,-3.5,3.5,-112,-109,222.0,-113,-109,,,,,,,,,,,,,,,,,,-160,135,-3.5,3.5,-110,-110,222.0,-110,-110,,,,,-161,135,-3.5,3.5,-110,-110,221.5,-110,-110,,,,,,,,,,,,,,,,,
3,2021,RegularSeason,2/1/21,8:00 PM ET,Mon,2/1/21 @ 8:00 PM ET,,Final,SAC,118,True,NO,109,False,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/NO.png,,,,,,,"Q1, Q2, Q3, Q4","33, 29, 32, 15","30, 30, 27, 31",1,-170.0,145.0,-4.0,4.0,-110,-110,233.0,-115.0,-105.0,,,,,-137,114,-2.5,2.5,-112,-110,234.5,-112,-109,,,,,-136,114,-2.5,2.5,-112,-109,234.5,-112,-109,,,,,-138,118,-2.5,2.5,-110,-110,234.5,-110,-110,,,,,-136,114,-2.5,2.5,-112,-109,234.5,-112,-109,,,,,,,,,,,,,,,,,,-135,115,-2.5,2.5,-110,-110,234.5,-115,-105,,,,,-139,115,-2.5,2.5,-110,-110,233.5,-110,-110,,,,,,,,,,,,,,,,,
4,2021,RegularSeason,2/1/21,8:00 PM ET,Mon,2/1/21 @ 8:00 PM ET,,Final,NY,102,False,CHI,110,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4","32, 27, 25, 26","27, 28, 26, 21",1,-165.0,140.0,-3.5,3.5,-110,-110,218.5,-115.0,-105.0,,,,,-157,131,-3.5,3.5,-112,-110,217.0,-112,-109,,,,,-155,130,-3.5,3.5,-112,-109,217.0,-112,-109,,,,,-158,134,-3.5,3.5,-114,-106,217.0,-110,-110,,,,,-155,130,-3.5,3.5,-112,-109,217.0,-112,-109,,,,,,,,,,,,,,,,,,-165,140,-3.5,3.5,-110,-110,217.0,-115,-105,,,,,-161,135,-3.5,3.5,-110,-110,217.5,-110,-110,,,,,,,,,,,,,,,,,
5,2021,RegularSeason,2/1/21,8:00 PM ET,Mon,2/1/21 @ 8:00 PM ET,,Final,POR,106,False,MIL,134,True,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","46, 33, 34, 21","36, 20, 21, 29",1,-556.0,410.0,-10.0,10.0,-111,-111,,,,,,,,-460,353,-9.5,9.5,-110,-110,235.0,-110,-110,,,,,-455,350,-9.5,9.5,-110,-110,235.0,-110,-110,,,,,-500,385,-9.5,9.5,-114,-106,235.0,-110,-110,,,,,-455,350,-9.5,9.5,-110,-110,235.0,-110,-110,,,,,,,,,,,,,,,,,,-520,380,-10.0,10.0,-110,-110,235.0,-110,-110,,,,,-455,350,-9.5,9.5,-110,-110,235.5,-110,-110,,,,,,,,,,,,,,,,,
6,2021,RegularSeason,2/1/21,8:00 PM ET,Mon,2/1/21 @ 8:00 PM ET,,Final,HOU,136,True,OKC,106,False,/assets/images/nba/logos/HOU.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4","24, 30, 22, 30","48, 25, 29, 34",1,165.0,-195.0,4.5,-4.5,-110,-110,224.5,-115.0,-105.0,,,,,162,-197,5.0,-5.0,-110,-112,224.5,-112,-110,,,,,160,-195,5.0,-5.0,-110,-112,224.5,-112,-109,,,,,172,-205,5.0,-5.0,-114,-106,224.5,-110,-110,,,,,160,-195,5.0,-5.0,-110,-112,224.5,-112,-109,,,,,,,,,,,,,,,,,,170,-200,5.0,-5.0,-110,-110,224.5,-115,-105,,,,,170,-208,5.5,-5.5,-110,-110,224.5,-110,-110,,,,,,,,,,,,,,,,,
7,2021,RegularSeason,2/1/21,8:30 PM ET,Mon,2/1/21 @ 8:30 PM ET,,Final,PHO,109,True,DAL,108,False,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","22, 31, 29, 26","22, 25, 30, 32",1,-116.0,-102.0,-1.0,1.0,-110,-110,,,,,,,,-128,107,-2.0,2.0,-109,-113,220.0,-108,-113,,,,,-127,107,-2.0,2.0,-108,-113,220.0,-108,-113,,,,,-132,112,-2.0,2.0,-110,-110,219.0,-105,-115,,,,,-127,107,-2.0,2.0,-108,-113,220.0,-108,-113,,,,,,,,,,,,,,,,,,-135,115,-2.0,2.0,-110,-110,219.5,-115,-105,,,,,-125,105,-1.5,1.5,-110,-110,220.5,-110,-110,,,,,,,,,,,,,,,,,
8,2021,RegularSeason,2/1/21,8:30 PM ET,Mon,2/1/21 @ 8:30 PM ET,,Final,MEM,133,True,SA,102,False,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","31, 22, 30, 19","33, 36, 27, 37",1,,,-3.0,3.0,-110,-110,,,,,,,,-175,143,-4.0,4.0,-112,-110,221.5,-112,-109,,,,,-175,143,-4.0,4.0,-112,-109,221.5,-112,-109,,,,,-168,142,-4.0,4.0,-110,-110,222.0,-110,-110,,,,,-175,143,-4.0,4.0,-112,-109,221.5,-112,-109,,,,,,,,,,,,,,,,,,-180,150,-4.0,4.0,-110,-110,222.0,-115,-105,,,,,-175,145,-3.5,3.5,-110,-110,221.5,-110,-110,,,,,,,,,,,,,,,,,
