Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
2018-19-1016,Boston Celtics,Philadelphia 76ers,208.5,5,-200,170,192,18
2018-19-1016,Golden State Warriors,Oklahoma City Thunder,223.5,11.5,-1100,711,208,8
2018-19-1017,Indiana Pacers,Memphis Grizzlies,209,7,-325,263,194,28
2018-19-1017,Charlotte Bobcats,Milwaukee Bucks,217,1.5,144,-165,225,-1
2018-19-1017,Orlando Magic,Miami Heat,210.5,2,115,-135,205,3
2018-19-1017,Detroit Pistons,Brooklyn Nets,212,4.5,-255,211,203,3
2018-19-1017,New York Knicks,Atlanta Hawks,213.5,3.5,-170,148,233,19
2018-19-1017,Toronto Raptors,Cleveland Cavaliers,214,11.5,-1300,797,220,12
2018-19-1017,Houston Rockets,New Orleans Pelicans,229.5,7.5,-345,278,243,-19
2018-19-1017,San Antonio Spurs,Minnesota Timberwolves,210.5,1,-145,125,220,4
2018-19-1017,Sacramento Kings,Utah Jazz,208,7.5,317,-400,240,-6
2018-19-1017,Phoenix Suns,Dallas Mavericks,215,1,110,-130,221,21
2018-19-1017,Los Angeles Clippers,Denver Nuggets,227,0,105,-125,205,-9
2018-19-1018,Philadelphia 76ers,Chicago Bulls,215,11,-1150,733,235,19
2018-19-1018,Washington Wizards,Miami Heat,212,4,-260,215,225,-1
2018-19-1018,Portland Trail Blazers,Los Angeles Lakers,222,2.5,-155,135,247,9
2018-19-1019,Orlando Magic,Charlotte Bobcats,217,0,105,-125,208,-32
2018-19-1019,Brooklyn Nets,New York Knicks,218.5,3,-170,148,212,2
2018-19-1019,New Orleans Pelicans,Sacramento Kings,228,10.5,-1000,664,278,20
2018-19-1019,Toronto Raptors,Boston Celtics,206,3,-155,135,214,12
2018-19-1019,Minnesota Timberwolves,Cleveland Cavaliers,223.5,8,-425,334,254,8
2018-19-1019,Memphis Grizzlies,Atlanta Hawks,208.5,6.5,-290,237,248,14
2018-19-1019,Milwaukee Bucks,Indiana Pacers,214.5,3,-165,144,219,17
2018-19-1019,Utah Jazz,Golden State Warriors,218,2,115,-135,247,-1
2018-19-1019,Los Angeles Clippers,Oklahoma City Thunder,215.5,1.5,-150,130,200,16
2018-19-1020,Washington Wizards,Toronto Raptors,216.5,1,-130,110,230,-4
2018-19-1020,Indiana Pacers,Brooklyn Nets,210.5,9,-380,303,244,20
2018-19-1020,Philadelphia 76ers,Orlando Magic,217,11.5,-1300,797,231,1
2018-19-1020,New York Knicks,Boston Celtics,211.5,8,384,-500,204,-2
2018-19-1020,Miami Heat,Charlotte Bobcats,216.5,5,-155,135,225,-1
2018-19-1020,Chicago Bulls,Detroit Pistons,214,2.5,170,-200,234,-2
2018-19-1020,Dallas Mavericks,Minnesota Timberwolves,216,2.5,-130,110,276,4
2018-19-1020,Denver Nuggets,Phoenix Suns,223,9,-620,459,210,28
2018-19-1020,Portland Trail Blazers,San Antonio Spurs,213,4,-205,172,229,13
2018-19-1020,Los Angeles Lakers,Houston Rockets,235,2,140,-160,239,-9
2018-19-1021,Cleveland Cavaliers,Atlanta Hawks,226.5,5.5,-380,303,244,-22
2018-19-1021,Oklahoma City Thunder,Sacramento Kings,219.5,8.5,-650,477,251,-11
2018-19-1021,Denver Nuggets,Golden State Warriors,230,3,163,-189,198,2
2018-19-1021,Los Angeles Clippers,Houston Rockets,225,2.5,-135,115,227,3
2018-19-1022,Toronto Raptors,Charlotte Bobcats,221,9,-400,317,233,21
2018-19-1022,Boston Celtics,Orlando Magic,212,12,-894,611,183,-3
2018-19-1022,Minnesota Timberwolves,Indiana Pacers,221.5,2,-130,110,192,10
2018-19-1022,Milwaukee Bucks,New York Knicks,222,10,-900,614,237,11
2018-19-1022,Dallas Mavericks,Chicago Bulls,228.5,4.5,-200,170,224,6
2018-19-1022,Utah Jazz,Memphis Grizzlies,218,9,-700,506,176,-8
2018-19-1022,Portland Trail Blazers,Washington Wizards,226,4.5,-185,160,249,-1
2018-19-1022,Los Angeles Lakers,San Antonio Spurs,222.5,1,-130,110,285,-1
2018-19-1022,Golden State Warriors,Phoenix Suns,228.5,13,-1300,797,226,20
2018-19-1023,Detroit Pistons,Philadelphia 76ers,219,3,100,-120,265,1
2018-19-1023,New Orleans Pelicans,Los Angeles Clippers,233,5.5,-245,203,225,7
2018-19-1023,Denver Nuggets,Sacramento Kings,227,11.5,-900,614,238,14
2018-19-1024,Cleveland Cavaliers,Brooklyn Nets,228,3,-145,125,188,-16
2018-19-1024,Atlanta Hawks,Dallas Mavericks,231.5,2.5,110,-130,215,7
2018-19-1024,Miami Heat,New York Knicks,224,8,-400,300,197,23
2018-19-1024,Toronto Raptors,Minnesota Timberwolves,226,8,-425,325,217,7
2018-19-1024,Chicago Bulls,Charlotte Bobcats,227,3.5,170,-200,222,2
2018-19-1024,Houston Rockets,Utah Jazz,218.5,3.5,-115,-105,189,-11
2018-19-1024,San Antonio Spurs,Indiana Pacers,215,2,-125,105,212,-20
2018-19-1024,Milwaukee Bucks,Philadelphia 76ers,224.5,4.5,-220,180,231,15
2018-19-1024,Phoenix Suns,Los Angeles Lakers,234,2,185,-230,244,-18
2018-19-1024,Sacramento Kings,Memphis Grizzlies,220,2,120,-140,189,5
2018-19-1024,Golden State Warriors,Washington Wizards,231.5,9.5,-650,450,266,22
2018-19-1025,Detroit Pistons,Cleveland Cavaliers,223.5,6.5,-500,375,213,7
2018-19-1025,Orlando Magic,Portland Trail Blazers,219,3.5,145,-170,242,-14
2018-19-1025,Oklahoma City Thunder,Boston Celtics,209,1.5,-110,-110,196,-6
2018-19-1025,Los Angeles Lakers,Denver Nuggets,239,3.5,100,-120,235,7
2018-19-1026,Charlotte Bobcats,Chicago Bulls,228,8,-650,450,241,29
2018-19-1026,Toronto Raptors,Dallas Mavericks,229,10.5,-1000,650,223,9
2018-19-1026,New York Knicks,Golden State Warriors,228,11.5,650,-1000,228,-28
2018-19-1026,New Orleans Pelicans,Brooklyn Nets,234,9.5,-500,375,232,2
2018-19-1026,Houston Rockets,Los Angeles Clippers,219,3,-180,150,246,-20
2018-19-1026,Minnesota Timberwolves,Milwaukee Bucks,232,2,110,-130,220,-30
2018-19-1026,Sacramento Kings,Washington Wizards,236,4.5,190,-240,228,4
2018-19-1027,Detroit Pistons,Boston Celtics,205.5,3.5,140,-160,198,-20
2018-19-1027,New Orleans Pelicans,Utah Jazz,226,0,210,-260,243,-21
2018-19-1027,Philadelphia 76ers,Charlotte Bobcats,230.5,6,-280,230,208,2
2018-19-1027,Atlanta Hawks,Chicago Bulls,231.5,4,-240,190,182,-12
2018-19-1027,Cleveland Cavaliers,Indiana Pacers,215,6.5,275,-350,226,-12
2018-19-1027,Miami Heat,Portland Trail Blazers,222,1,-125,105,231,9
2018-19-1027,Memphis Grizzlies,Phoenix Suns,206.5,9.5,-350,275,213,21
2018-19-1027,San Antonio Spurs,Los Angeles Lakers,221,1.5,-105,-115,216,4
2018-19-1027,Milwaukee Bucks,Orlando Magic,222,9,-500,375,204,22
2018-19-1028,Brooklyn Nets,Golden State Warriors,226,10,450,-650,234,-6
2018-19-1028,Oklahoma City Thunder,Phoenix Suns,218,11.5,-2000,1000,227,7
2018-19-1028,Dallas Mavericks,Utah Jazz,217,3.5,170,-200,217,-9
2018-19-1028,Los Angeles Clippers,Washington Wizards,228,4,-170,145,240,32
2018-19-1029,Philadelphia 76ers,Atlanta Hawks,229.5,11,-1000,650,205,21
2018-19-1029,Indiana Pacers,Portland Trail Blazers,220.5,3,-170,145,196,-10
2018-19-1029,Miami Heat,Sacramento Kings,227,8,-500,375,236,-10
2018-19-1029,New York Knicks,Brooklyn Nets,217.5,1.5,-120,100,211,19
2018-19-1029,Milwaukee Bucks,Toronto Raptors,220.5,1,110,-130,233,15
2018-19-1029,Chicago Bulls,Golden State Warriors,231,11,600,-900,273,-25
2018-19-1029,Minnesota Timberwolves,Los Angeles Lakers,238.5,1,105,-125,244,4
2018-19-1029,San Antonio Spurs,Dallas Mavericks,219,6.5,-310,250,221,5
2018-19-1029,Denver Nuggets,New Orleans Pelicans,232.5,7,-500,375,227,5
2018-19-1030,Cleveland Cavaliers,Atlanta Hawks,226,3,-205,172,250,22
2018-19-1030,Charlotte Bobcats,Miami Heat,220,3.5,-160,140,238,12
2018-19-1030,Orlando Magic,Sacramento Kings,224,4,-200,170,206,-8
2018-19-1030,Boston Celtics,Detroit Pistons,207.5,8.5,-480,371,213,3
2018-19-1030,Toronto Raptors,Philadelphia 76ers,222,6.5,-260,215,241,17
2018-19-1030,Houston Rockets,Portland Trail Blazers,224.5,2.5,-200,170,189,-19
2018-19-1030,Oklahoma City Thunder,Los Angeles Clippers,224,2.5,-165,144,238,18
2018-19-1030,Memphis Grizzlies,Washington Wizards,218.5,1,-115,-105,202,12
2018-19-1031,Brooklyn Nets,Detroit Pistons,214,1,-130,110,239,1
2018-19-1031,Chicago Bulls,Denver Nuggets,226.5,8.5,317,-400,215,-1
2018-19-1031,New York Knicks,Indiana Pacers,211.5,5.5,212,-256,208,-6
2018-19-1031,Minnesota Timberwolves,Utah Jazz,223,2.5,260,-320,253,3
2018-19-1031,Golden State Warriors,New Orleans Pelicans,234,12,-502,386,252,10
2018-19-1031,Phoenix Suns,San Antonio Spurs,219,7.5,281,-350,210,-30
2018-19-1031,Los Angeles Lakers,Dallas Mavericks,235,7,-402,318,227,1
2018-19-1101,Charlotte Bobcats,Oklahoma City Thunder,227,1,-120,100,218,-4
2018-19-1101,Philadelphia 76ers,Los Angeles Clippers,229.5,4.5,-240,190,235,9
2018-19-1101,Cleveland Cavaliers,Denver Nuggets,222,5,185,-230,201,-19
2018-19-1101,Atlanta Hawks,Sacramento Kings,230,2,115,-135,261,-31
2018-19-1101,Boston Celtics,Milwaukee Bucks,215,3,-140,120,230,4
2018-19-1101,Portland Trail Blazers,New Orleans Pelicans,237,4,-350,275,251,13
2018-19-1102,Orlando Magic,Los Angeles Clippers,220,3.5,145,-170,215,-25
2018-19-1102,Brooklyn Nets,Houston Rockets,219.5,4.5,160,-190,230,-8
2018-19-1102,Washington Wizards,Oklahoma City Thunder,233.5,2.5,-170,145,245,-23
2018-19-1102,Chicago Bulls,Indiana Pacers,211.5,7.5,250,-310,212,-2
2018-19-1102,Dallas Mavericks,New York Knicks,216.5,6,-250,200,224,-12
2018-19-1102,Utah Jazz,Memphis Grizzlies,202,8,-350,275,210,-10
2018-19-1102,Phoenix Suns,Toronto Raptors,226,10,450,-650,205,-9
2018-19-1102,Golden State Warriors,Minnesota Timberwolves,243,11,-800,550,215,17
2018-19-1103,Philadelphia 76ers,Detroit Pistons,224.5,7.5,-350,275,208,10
2018-19-1103,Indiana Pacers,Boston Celtics,207.5,1,142,-165,203,1
2018-19-1103,Charlotte Bobcats,Cleveland Cavaliers,226,9.5,-650,450,220,32
2018-19-1103,Atlanta Hawks,Miami Heat,226.5,5.5,190,-240,241,5
2018-19-1103,Chicago Bulls,Houston Rockets,227,8,325,-425,184,-8
2018-19-1103,San Antonio Spurs,New Orleans Pelicans,231.5,3,-125,105,204,14
2018-19-1103,Denver Nuggets,Utah Jazz,208,4,-190,160,191,15
2018-19-1103,Portland Trail Blazers,Los Angeles Lakers,238,3.5,-155,135,224,-4
2018-19-1104,Milwaukee Bucks,Sacramento Kings,234,10,-650,450,253,35
2018-19-1104,Brooklyn Nets,Philadelphia 76ers,226,4,150,-180,219,25
2018-19-1104,Washington Wizards,New York Knicks,228,6.5,-300,240,203,13
2018-19-1104,San Antonio Spurs,Orlando Magic,209,8,-360,280,227,-7
2018-19-1104,Phoenix Suns,Memphis Grizzlies,210.5,3,160,-190,202,2
2018-19-1104,Portland Trail Blazers,Minnesota Timberwolves,231,4,-275,225,192,30
2018-19-1104,Los Angeles Lakers,Toronto Raptors,233,3,-125,105,228,-14
2018-19-1105,Indiana Pacers,Houston Rockets,212,0,-110,-110,192,-4
2018-19-1105,Detroit Pistons,Miami Heat,218,3.5,-150,130,235,-5
2018-19-1105,Orlando Magic,Cleveland Cavaliers,212,3.5,-180,150,202,2
2018-19-1105,New York Knicks,Chicago Bulls,216,2.5,-150,130,231,-1
2018-19-1105,Oklahoma City Thunder,New Orleans Pelicans,236,4.5,-160,140,238,6
2018-19-1105,Denver Nuggets,Boston Celtics,203,2,-120,100,222,8
2018-19-1105,Utah Jazz,Toronto Raptors,217,1.5,-155,135,235,-13
2018-19-1105,Golden State Warriors,Memphis Grizzlies,219,14,-2000,1000,218,16
2018-19-1105,Los Angeles Clippers,Minnesota Timberwolves,228,5,-240,190,229,11
2018-19-1106,Charlotte Bobcats,Atlanta Hawks,232,11,-900,600,215,11
2018-19-1106,Dallas Mavericks,Washington Wizards,225.5,1,105,-125,219,19
2018-19-1106,Phoenix Suns,Brooklyn Nets,219.5,0,120,-140,186,-22
2018-19-1106,Portland Trail Blazers,Milwaukee Bucks,230,1,110,-130,221,15
2018-19-1107,Orlando Magic,Detroit Pistons,211.5,1,135,-155,199,-7
2018-19-1107,Cleveland Cavaliers,Oklahoma City Thunder,219.5,5.5,230,-280,181,-9
2018-19-1107,Atlanta Hawks,New York Knicks,222.5,1,100,-120,219,-5
2018-19-1107,Miami Heat,San Antonio Spurs,215.5,1.5,-115,-105,183,7
2018-19-1107,Memphis Grizzlies,Denver Nuggets,205.5,3.5,140,-160,176,2
2018-19-1107,New Orleans Pelicans,Chicago Bulls,230.5,10.5,-800,550,205,9
2018-19-1107,Indiana Pacers,Philadelphia 76ers,216,2.5,-145,125,194,-6
2018-19-1107,Utah Jazz,Dallas Mavericks,218.5,10,-550,400,219,15
2018-19-1107,Sacramento Kings,Toronto Raptors,233.5,8,400,-550,219,-9
2018-19-1107,Los Angeles Lakers,Minnesota Timberwolves,237,5,-270,220,224,4
2018-19-1108,Oklahoma City Thunder,Houston Rockets,214.5,4.5,175,-210,178,18
2018-19-1108,Phoenix Suns,Boston Celtics,211,8.5,375,-500,225,-7
2018-19-1108,Portland Trail Blazers,Los Angeles Clippers,225.5,4.5,-220,180,221,11
2018-19-1108,Golden State Warriors,Milwaukee Bucks,238.5,6,-270,220,245,-23
2018-19-1109,Orlando Magic,Washington Wizards,216.5,3,145,-170,225,9
2018-19-1109,Philadelphia 76ers,Charlotte Bobcats,223.5,5,-240,190,265,1
2018-19-1109,Atlanta Hawks,Detroit Pistons,223.5,5,200,-250,233,-15
2018-19-1109,Miami Heat,Indiana Pacers,209.5,1,115,-135,212,-8
2018-19-1109,Denver Nuggets,Brooklyn Nets,209.5,9.5,-450,350,222,-2
2018-19-1109,Utah Jazz,Boston Celtics,210,3,-270,220,238,8
2018-19-1109,Sacramento Kings,Minnesota Timberwolves,234.5,3,115,-135,231,11
2018-19-1110,Toronto Raptors,New York Knicks,218.5,14,-2000,1000,240,16
2018-19-1110,Los Angeles Clippers,Milwaukee Bucks,231.5,3,160,-190,254,2
2018-19-1110,New Orleans Pelicans,Phoenix Suns,228,10,-500,375,218,20
2018-19-1110,Chicago Bulls,Cleveland Cavaliers,212.5,4,-200,170,197,1
2018-19-1110,Miami Heat,Washington Wizards,225.5,3,-170,145,226,-6
2018-19-1110,Memphis Grizzlies,Philadelphia 76ers,210,0,-200,170,218,6
2018-19-1110,Golden State Warriors,Brooklyn Nets,226.5,10,-400,300,216,16
2018-19-1110,San Antonio Spurs,Houston Rockets,208,0,145,-170,185,7
2018-19-1110,Dallas Mavericks,Oklahoma City Thunder,216,1,-125,105,207,15
2018-19-1110,Sacramento Kings,Los Angeles Lakers,240,5.5,200,-250,187,-15
2018-19-1111,Detroit Pistons,Charlotte Bobcats,221,2,-140,120,216,-10
2018-19-1111,Houston Rockets,Indiana Pacers,209,2.5,-145,125,218,12
2018-19-1111,New York Knicks,Orlando Magic,207.5,1.5,-165,142,204,-26
2018-19-1111,Denver Nuggets,Milwaukee Bucks,220,2,-160,140,235,-7
2018-19-1111,Portland Trail Blazers,Boston Celtics,214,2.5,-130,110,194,6
2018-19-1111,Los Angeles Lakers,Atlanta Hawks,239,11.5,-800,550,213,1
2018-19-1112,Washington Wizards,Orlando Magic,220.5,8.5,-360,280,226,8
2018-19-1112,Miami Heat,Philadelphia 76ers,223,1,-140,120,238,-10
2018-19-1112,Toronto Raptors,New Orleans Pelicans,230,8.5,-550,400,236,-16
2018-19-1112,Chicago Bulls,Dallas Mavericks,211,1,120,-140,201,-5
2018-19-1112,Memphis Grizzlies,Utah Jazz,205.5,2,145,-170,184,-8
2018-19-1112,Oklahoma City Thunder,Phoenix Suns,208,8.5,-400,300,219,17
2018-19-1112,Minnesota Timberwolves,Brooklyn Nets,222,2.5,-170,145,233,7
2018-19-1112,Sacramento Kings,San Antonio Spurs,220,3.5,120,-140,203,5
2018-19-1112,Los Angeles Clippers,Golden State Warriors,232,2,145,-170,237,5
2018-19-1113,Cleveland Cavaliers,Charlotte Bobcats,218.5,6.5,350,-450,202,24
2018-19-1113,Denver Nuggets,Houston Rockets,212.5,4,-180,150,208,-10
2018-19-1113,Golden State Warriors,Atlanta Hawks,234,13,-1000,650,213,7
2018-19-1114,Orlando Magic,Philadelphia 76ers,220,6,190,-240,217,5
2018-19-1114,Washington Wizards,Cleveland Cavaliers,219.5,11,-1100,700,214,24
2018-19-1114,Boston Celtics,Chicago Bulls,210,12,-1400,800,193,29
2018-19-1114,Toronto Raptors,Detroit Pistons,222,10,-550,400,210,-2
2018-19-1114,Brooklyn Nets,Miami Heat,218.5,1.5,115,-135,227,-13
2018-19-1114,Oklahoma City Thunder,New York Knicks,213,9,-420,320,231,25
2018-19-1114,Minnesota Timberwolves,New Orleans Pelicans,237.5,1,110,-130,207,7
2018-19-1114,Milwaukee Bucks,Memphis Grizzlies,217.5,9.5,-550,400,229,-3
2018-19-1114,Dallas Mavericks,Utah Jazz,215.5,3.5,180,-220,186,50
2018-19-1114,Phoenix Suns,San Antonio Spurs,211.5,5,200,-250,212,20
2018-19-1114,Los Angeles Lakers,Portland Trail Blazers,228,1,-135,115,243,9
2018-19-1115,Houston Rockets,Golden State Warriors,220,0,-190,160,193,21
2018-19-1115,Denver Nuggets,Atlanta Hawks,221,12.5,-1500,850,231,45
2018-19-1115,Los Angeles Clippers,San Antonio Spurs,219.5,5,-280,230,227,5
2018-19-1116,Washington Wizards,Brooklyn Nets,220.5,6.5,-270,220,219,-11
2018-19-1116,Indiana Pacers,Miami Heat,212,4.5,-220,180,190,8
2018-19-1116,Philadelphia 76ers,Utah Jazz,216.5,2.5,-145,125,220,6
2018-19-1116,Boston Celtics,Toronto Raptors,214,1.5,-135,115,239,7
2018-19-1116,Minnesota Timberwolves,Portland Trail Blazers,223.5,1,-120,100,208,16
2018-19-1116,Memphis Grizzlies,Sacramento Kings,212,6,-275,225,216,8
2018-19-1116,New Orleans Pelicans,New York Knicks,227.5,10,-700,500,253,5
2018-19-1116,Milwaukee Bucks,Chicago Bulls,223,13.5,-2000,1000,227,19
2018-19-1117,Brooklyn Nets,Los Angeles Clippers,221,6,150,-180,246,-8
2018-19-1117,Orlando Magic,Los Angeles Lakers,222,5,155,-185,247,13
2018-19-1117,Indiana Pacers,Atlanta Hawks,219,12.5,-800,550,186,8
2018-19-1117,New Orleans Pelicans,Denver Nuggets,225,1,-110,-110,240,10
2018-19-1117,Charlotte Bobcats,Philadelphia 76ers,226,2,-145,125,241,-3
2018-19-1117,Boston Celtics,Utah Jazz,208.5,4.5,-185,155,184,-12
2018-19-1117,Houston Rockets,Sacramento Kings,218.5,11.5,-1200,750,244,20
2018-19-1117,Chicago Bulls,Toronto Raptors,216.5,9,425,-600,205,-39
2018-19-1117,Dallas Mavericks,Golden State Warriors,216.5,3.5,115,-135,221,3
2018-19-1117,Phoenix Suns,Oklahoma City Thunder,217.5,6.5,170,-200,210,-10
2018-19-1118,Minnesota Timberwolves,Memphis Grizzlies,213,3.5,-210,175,187,-13
2018-19-1118,Washington Wizards,Portland Trail Blazers,224,1,105,-125,228,-10
2018-19-1118,Miami Heat,Los Angeles Lakers,228,1.5,-105,-115,210,-16
2018-19-1118,Orlando Magic,New York Knicks,213,4,-200,170,248,14
2018-19-1118,San Antonio Spurs,Golden State Warriors,217,1.5,-155,135,196,12
2018-19-1119,Charlotte Bobcats,Boston Celtics,216,1,150,-180,229,5
2018-19-1119,Indiana Pacers,Utah Jazz,203,1,150,-180,215,27
2018-19-1119,Philadelphia 76ers,Phoenix Suns,220,12.5,-900,600,233,5
2018-19-1119,Detroit Pistons,Cleveland Cavaliers,211,10,-550,400,215,11
2018-19-1119,Atlanta Hawks,Los Angeles Clippers,228,7.5,225,-275,246,-8
2018-19-1119,Milwaukee Bucks,Denver Nuggets,228.5,5,-250,200,202,6
2018-19-1119,New Orleans Pelicans,San Antonio Spurs,225,7.5,-330,260,266,14
2018-19-1119,Memphis Grizzlies,Dallas Mavericks,205,3.5,-155,135,186,10
2018-19-1119,Sacramento Kings,Oklahoma City Thunder,223,2.5,170,-200,230,4
2018-19-1120,Orlando Magic,Toronto Raptors,222.5,6.5,260,-330,184,-2
2018-19-1120,Washington Wizards,Los Angeles Clippers,230,1,-110,-110,243,7
2018-19-1120,New York Knicks,Portland Trail Blazers,222.5,7.5,240,-300,232,-4
2018-19-1120,Miami Heat,Brooklyn Nets,215.5,3,-145,125,196,-12
2018-19-1121,Philadelphia 76ers,New Orleans Pelicans,234,3.5,-170,145,241,1
2018-19-1121,Charlotte Bobcats,Indiana Pacers,215.5,2.5,-165,142,236,18
2018-19-1121,Atlanta Hawks,Toronto Raptors,230,9.5,300,-400,232,-16
2018-19-1121,Boston Celtics,New York Knicks,216.5,14,-2000,1000,226,-8
2018-19-1121,Houston Rockets,Detroit Pistons,215,8.5,-450,350,250,2
2018-19-1121,Milwaukee Bucks,Portland Trail Blazers,226,5.5,-330,260,243,43
2018-19-1121,Minnesota Timberwolves,Denver Nuggets,216,1,-110,-110,204,-2
2018-19-1121,Chicago Bulls,Phoenix Suns,211.5,2,100,-120,240,8
2018-19-1121,Cleveland Cavaliers,Los Angeles Lakers,220,9,375,-500,214,-4
2018-19-1121,San Antonio Spurs,Memphis Grizzlies,199.5,2.5,-155,135,207,-1
2018-19-1121,Dallas Mavericks,Brooklyn Nets,216.5,7,-220,180,232,6
2018-19-1121,Utah Jazz,Sacramento Kings,220,9.5,-550,400,229,-9
2018-19-1121,Golden State Warriors,Oklahoma City Thunder,222.5,1,-110,-110,218,-28
2018-19-1123,Brooklyn Nets,Minnesota Timberwolves,220.5,1,105,-125,214,-10
2018-19-1123,Los Angeles Clippers,Memphis Grizzlies,214.5,3,-179,155,219,5
2018-19-1123,Detroit Pistons,Houston Rockets,218,3.5,155,-180,227,5
2018-19-1123,New York Knicks,New Orleans Pelicans,238,7.5,245,-300,223,5
2018-19-1123,Philadelphia 76ers,Cleveland Cavaliers,220,13.5,-1300,797,233,-9
2018-19-1123,Toronto Raptors,Washington Wizards,228.5,10,-580,435,232,18
2018-19-1123,Atlanta Hawks,Boston Celtics,219.5,9.5,281,-350,210,-18
2018-19-1123,Chicago Bulls,Miami Heat,214,2,148,-170,199,-7
2018-19-1123,Indiana Pacers,San Antonio Spurs,206.5,3,-125,105,211,-11
2018-19-1123,Oklahoma City Thunder,Charlotte Bobcats,227,6,-277,227,213,5
2018-19-1123,Milwaukee Bucks,Phoenix Suns,228.5,14,-1400,837,230,-2
2018-19-1123,Denver Nuggets,Orlando Magic,214.5,8,-400,317,199,25
2018-19-1123,Los Angeles Lakers,Utah Jazz,221,2,-145,125,173,7
2018-19-1123,Golden State Warriors,Portland Trail Blazers,220.5,2,-114,-107,222,28
2018-19-1124,Cleveland Cavaliers,Houston Rockets,213,11,267,-330,225,9
2018-19-1124,Washington Wizards,New Orleans Pelicans,240,2,-159,139,238,10
2018-19-1124,Minnesota Timberwolves,Chicago Bulls,216.5,9.5,-725,520,207,15
2018-19-1124,Oklahoma City Thunder,Denver Nuggets,217,5,-240,199,203,-7
2018-19-1124,Milwaukee Bucks,San Antonio Spurs,221,9,-522,398,264,6
2018-19-1124,Golden State Warriors,Sacramento Kings,229.5,4.5,-270,222,233,1
2018-19-1124,Dallas Mavericks,Boston Celtics,213,2.5,120,-140,217,9
2018-19-1125,Los Angeles Lakers,Orlando Magic,217.5,8.5,-350,275,212,-4
2018-19-1125,Detroit Pistons,Phoenix Suns,217.5,8.5,-400,300,225,11
2018-19-1125,Toronto Raptors,Miami Heat,218.5,11,-1000,650,240,10
2018-19-1125,Brooklyn Nets,Philadelphia 76ers,223,3,170,-200,252,-2
2018-19-1125,Memphis Grizzlies,New York Knicks,208.5,8.5,-370,285,201,-5
2018-19-1125,Atlanta Hawks,Charlotte Bobcats,230.5,8,240,-300,247,1
2018-19-1125,Sacramento Kings,Utah Jazz,218,3,150,-180,245,-21
2018-19-1125,Portland Trail Blazers,Los Angeles Clippers,227.5,3.5,-180,150,204,-4
2018-19-1126,Cleveland Cavaliers,Minnesota Timberwolves,216.5,7,190,-240,197,-7
2018-19-1126,Charlotte Bobcats,Milwaukee Bucks,236.5,4.5,170,-200,217,3
2018-19-1126,Washington Wizards,Houston Rockets,225.5,3.5,-125,105,266,4
2018-19-1126,Chicago Bulls,San Antonio Spurs,213.5,6,230,-280,215,-1
2018-19-1126,New Orleans Pelicans,Boston Celtics,226.5,1.5,-130,110,231,-17
2018-19-1126,Utah Jazz,Indiana Pacers,203,4.5,-200,170,209,-33
2018-19-1126,Golden State Warriors,Orlando Magic,214.5,7.5,-300,240,226,6
2018-19-1127,Detroit Pistons,New York Knicks,220.5,7,-350,275,223,7
2018-19-1127,Miami Heat,Atlanta Hawks,221,7,-330,260,228,-2
2018-19-1127,Memphis Grizzlies,Toronto Raptors,205,3.5,200,-250,236,-8
2018-19-1127,Phoenix Suns,Indiana Pacers,212.5,2.5,125,-145,213,-5
2018-19-1127,Denver Nuggets,Los Angeles Lakers,211.5,4,-150,130,202,32
2018-19-1128,Philadelphia 76ers,New York Knicks,227.5,12.5,-1200,750,208,26
2018-19-1128,Charlotte Bobcats,Atlanta Hawks,233,12,-1000,650,202,14
2018-19-1128,Brooklyn Nets,Utah Jazz,216.5,3,145,-170,192,-10
2018-19-1128,Minnesota Timberwolves,San Antonio Spurs,216,4,-185,155,217,39
2018-19-1128,Houston Rockets,Dallas Mavericks,214,7,-250,200,236,-20
2018-19-1128,Milwaukee Bucks,Chicago Bulls,227.5,13.5,-2500,1100,229,3
2018-19-1128,Oklahoma City Thunder,Cleveland Cavaliers,216,13,-1200,750,183,17
2018-19-1128,New Orleans Pelicans,Washington Wizards,242,6,-280,230,229,21
2018-19-1128,Portland Trail Blazers,Orlando Magic,212,8.5,-550,400,227,3
2018-19-1128,Los Angeles Clippers,Phoenix Suns,228,11,-900,600,214,16
2018-19-1129,Toronto Raptors,Golden State Warriors,226.5,9.5,-500,375,259,3
2018-19-1129,Sacramento Kings,Los Angeles Clippers,232.5,2,115,-135,254,-12
2018-19-1129,Los Angeles Lakers,Indiana Pacers,215.5,5,-220,180,200,8
2018-19-1130,Philadelphia 76ers,Washington Wizards,235,7.5,-440,340,221,25
2018-19-1130,Detroit Pistons,Chicago Bulls,216.5,9,-440,340,195,19
2018-19-1130,Boston Celtics,Cleveland Cavaliers,209,13.5,-1500,850,223,33
2018-19-1130,Charlotte Bobcats,Utah Jazz,217,1.5,-130,110,230,-8
2018-19-1130,Brooklyn Nets,Memphis Grizzlies,208,2,125,-145,256,-6
2018-19-1130,Miami Heat,New Orleans Pelicans,229.5,3,130,-150,207,5
2018-19-1130,San Antonio Spurs,Houston Rockets,217,1,150,-180,241,-31
2018-19-1130,Oklahoma City Thunder,Atlanta Hawks,225,13.5,-1500,850,233,15
2018-19-1130,Phoenix Suns,Orlando Magic,216,1.5,160,-190,184,-14
