datetime,HomeTeamProb,AwayTeamProb,AwayTeam,HomeTeam,HomeTeamHasWon,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine
2019-01-09,0.7325344134228389,0.26746558657716113,DET,LAL,True,-113.0,103.0
2019-01-10,0.471646790500952,0.528353209499048,BOS,MIA,True,120.0,-130.0
2019-01-10,0.7321840876776788,0.2678159123223212,LAC,DEN,True,-210.0,190.0
2019-01-10,0.6250668820223028,0.3749331179776973,OKC,SAS,True,108.0,-118.0
2019-01-10,0.6536793849716585,0.34632061502834155,DET,SAC,True,-315.0,285.0
2019-01-11,0.8631676453904495,0.13683235460955046,ATL,PHI,False,-475.0,420.0
2019-01-11,0.38013357606877707,0.6198664239312229,MIL,WAS,True,115.0,-125.0
2019-01-11,0.25275233847771944,0.7472476615222805,IND,NYK,False,310.0,-340.0
2019-01-11,0.8097605866461354,0.19023941335386466,BRK,TOR,True,-500.0,435.0
2019-01-11,0.910294527974109,0.08970547202589096,CLE,HOU,True,-1150.0,950.0
2019-01-11,0.7021124063135171,0.2978875936864829,DAL,MIN,False,-185.0,170.0
2019-01-11,0.7030317714503573,0.2969682285496427,LAL,UTA,True,-375.0,335.0
2019-01-11,0.7656394971006066,0.23436050289939336,CHO,POR,True,-260.0,240.0
2019-01-11,0.915984407957248,0.08401559204275189,CHI,GSW,True,-1500.0,1200.0
2019-01-12,0.7493897271570912,0.2506102728429088,DET,LAC,False,-280.0,255.0
2019-01-12,0.7354785331893089,0.2645214668106911,MEM,MIA,True,-155.0,145.0
2019-01-12,0.3668000172767557,0.6331999827232444,BOS,ORL,True,255.0,-280.0
2019-01-12,0.6393097732566642,0.36069022674333584,SAS,OKC,True,-250.0,230.0
2019-01-12,0.6157535739845879,0.38424642601541215,NOP,MIN,True,115.0,-125.0
2019-01-12,0.22843277287944325,0.7715672271205567,DEN,PHO,True,380.0,-430.0
2019-01-12,0.9056061072243022,0.09439389277569776,CHI,UTA,True,-750.0,600.0
2019-01-12,0.6653511737891771,0.3346488262108229,CHO,SAC,True,-215.0,195.0
2019-01-13,0.298289173405448,0.701710826594552,PHI,NYK,False,340.0,-380.0
2019-01-13,0.4247809043916432,0.5752190956083568,TOR,WAS,False,185.0,-200.0
2019-01-13,0.2693637669126034,0.7306362330873966,MIL,ATL,False,420.0,-475.0
2019-01-13,0.3651137795873566,0.6348862204126434,HOU,ORL,True,175.0,-190.0
2019-01-13,0.4708914325241986,0.5291085674758014,GSW,DAL,False,215.0,-235.0
2019-01-13,0.6850410257686406,0.31495897423135943,POR,DEN,True,-178.0,167.0
2019-01-13,0.8661904604634063,0.1338095395365937,CLE,LAL,False,-575.0,485.0
2019-01-14,0.4758804592436273,0.5241195407563727,BOS,BRK,True,120.0,-130.0
2019-01-14,0.8225379290784285,0.1774620709215715,MEM,HOU,True,-165.0,155.0
2019-01-14,0.8099687763934588,0.19003122360654126,CHO,SAS,False,-320.0,290.0
2019-01-14,0.7990319529775286,0.2009680470224714,DET,UTA,True,-305.0,275.0
2019-01-14,0.5057851139920972,0.4942148860079028,POR,SAC,True,-122.0,112.0
2019-01-14,0.6079837334404292,0.3920162665595708,NOP,LAC,False,108.0,-118.0
2019-01-15,0.6947101703788476,0.3052898296211524,MIN,PHI,True,-230.0,210.0
2019-01-15,0.907399735563156,0.0926002644368441,PHO,IND,True,-570.0,480.0
2019-01-15,0.31281785743816004,0.68718214256184,OKC,ATL,True,420.0,-475.0
2019-01-15,0.8006112064366064,0.1993887935633936,MIA,MIL,True,-350.0,318.0
2019-01-15,0.6130607284834843,0.38693927151651575,GSW,DEN,False,120.0,-130.0
2019-01-15,0.8563565698342788,0.14364343016572126,CHI,LAL,True,-280.0,255.0
2019-01-16,0.6732442769732017,0.32675572302679834,ORL,DET,True,-160.0,150.0
2019-01-16,0.7753773340369442,0.2246226659630558,BRK,HOU,False,-220.0,200.0
2019-01-16,0.31105326439300884,0.6889467356069912,MIL,MEM,False,215.0,-235.0
2019-01-16,0.5615603122987354,0.4384396877012646,TOR,BOS,True,-145.0,135.0
2019-01-16,0.5419290179863201,0.4580709820136799,SAS,DAL,False,-113.0,103.0
2019-01-16,0.8743744097284226,0.12562559027157738,CLE,POR,True,-1400.0,1100.0
2019-01-16,0.7656001342761601,0.23439986572383986,NOP,GSW,True,-280.0,255.0
2019-01-16,0.5213268194431749,0.478673180556825,UTA,LAC,False,-113.0,103.0
2019-01-17,0.7162949439842479,0.2837050560157521,NYK,WAS,True,-295.0,265.0
2019-01-17,0.6249514746520569,0.3750485253479431,SAC,CHO,True,-145.0,135.0
2019-01-17,0.6869960894545453,0.31300391054545473,PHI,IND,False,-150.0,140.0
2019-01-17,0.9136963113142104,0.08630368868578975,PHO,TOR,True,-430.0,380.0
2019-01-17,0.9000633577963708,0.0999366422036292,CHI,DEN,True,-1300.0,1050.0
2019-01-17,0.7309354927970145,0.2690645072029855,LAL,OKC,False,-500.0,435.0
2019-01-18,0.5332703075956383,0.4667296924043617,BRK,ORL,False,-130.0,120.0
2019-01-18,0.5692155648672071,0.4307844351327929,MIA,DET,True,-135.0,125.0
2019-01-18,0.8280561150479879,0.17194388495201207,MEM,BOS,True,-525.0,450.0
2019-01-18,0.566791393321007,0.43320860667899297,SAS,MIN,False,-120.0,110.0
2019-01-18,0.907323029977768,0.09267697002223207,CLE,UTA,True,-1800.0,1400.0
2019-01-18,0.4055437352709573,0.5944562647290427,GSW,LAC,False,265.0,-295.0
2019-01-18,0.6561154671327791,0.3438845328672209,NOP,POR,True,-150.0,140.0
2019-01-19,0.7089747525107007,0.29102524748929925,OKC,PHI,False,-155.0,145.0
2019-01-19,0.8117396730987355,0.18826032690126449,PHO,CHO,True,-300.0,270.0
2019-01-19,0.2900872558167693,0.7099127441832307,MIL,ORL,False,450.0,-525.0
2019-01-19,0.7730472807798048,0.2269527192201952,DAL,IND,True,-295.0,265.0
2019-01-19,0.6310952495999479,0.3689047504000521,SAC,DET,False,102.0,-112.0
2019-01-19,0.8607149446560164,0.1392850553439836,MEM,TOR,True,-600.0,500.0
2019-01-19,0.3512298942705217,0.6487701057294784,BOS,ATL,False,235.0,-255.0
2019-01-19,0.34907701700254984,0.6509229829974501,MIA,CHI,False,160.0,-170.0
2019-01-19,0.7207178789833113,0.2792821210166887,LAL,HOU,True,-275.0,250.0
2019-01-19,0.891694765126376,0.10830523487362398,CLE,DEN,True,-2400.0,1800.0
2019-01-20,0.7807600798092954,0.2192399201907046,CHO,IND,True,-325.0,295.0
2019-01-20,0.8432309708951441,0.1567690291048559,PHO,MIN,True,-1000.0,800.0
2019-01-20,0.7561003717964323,0.2438996282035677,LAC,SAS,False,-430.0,380.0
2019-01-21,0.2920466419602465,0.7079533580397535,OKC,NYK,False,355.0,-400.0
2019-01-21,0.6758205330869937,0.32417946691300625,CHI,CLE,False,115.0,-125.0
2019-01-21,0.8448365189589044,0.15516348104109556,DAL,MIL,True,-650.0,535.0
2019-01-21,0.6795412495287979,0.3204587504712021,DET,WAS,True,-215.0,195.0
2019-01-21,0.6046834396385492,0.3953165603614508,ORL,ATL,False,-125.0,115.0
2019-01-21,0.6775660863430509,0.3224339136569491,SAC,BRK,True,-160.0,150.0
