datetime,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2019-01-03,2019,RegularSeason,1/3/19,10:00 PM ET,Thu,1/3/19 @ 10:00 PM ET,,Final,DEN,117,True,SAC,113,False,/assets/images/nba/logos/DEN.png,/assets/images/nba/logos/SAC.png,,,,,,,"Q1, Q2, Q3, Q4","30, 36, 18, 29","30, 23, 31, 33",2,125.0,-152.0,3.0,-3.0,-109,-112,227.5,-112.0,-109.0,,,,,150.0,-160.0,4.0,-4.0,-120.0,100.0,227.5,,,,,,,138.0,-167.0,3.5,-3.5,-109.0,-112.0,227.0,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,2019,RegularSeason,1/3/19,8:00 PM ET,Thu,1/3/19 @ 8:00 PM ET,,Final,TOR,107,False,SA,125,True,/assets/images/nba/logos/TOR.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","38, 29, 29, 29","19, 32, 24, 32",2,-121.0,100.0,-1.5,1.5,-110,-109,216.5,-112.0,-109.0,,,,,-155.0,145.0,-4.5,4.5,109.0,-129.0,218.5,,,,,,,-162.0,133.0,-3.5,3.5,-112.0,-109.0,218.0,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,10:30 PM ET,Fri,1/4/19 @ 10:30 PM ET,,Final,OKC,111,True,POR,109,False,/assets/images/nba/logos/OKC.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","28, 34, 25, 22","28, 29, 36, 18",2,-112.0,-109.0,-0.5,0.5,-112,-109,223.0,-112.0,-109.0,,,,,102.0,-112.0,-1.5,1.5,112.0,-132.0,224.5,,,,,,,-114.0,-107.0,-1.0,1.0,-109.0,-112.0,223.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,7:30 PM ET,Fri,1/4/19 @ 7:30 PM ET,,Final,UTA,117,True,CLE,91,False,/assets/images/nba/logos/UTA.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4","20, 29, 22, 20","23, 25, 33, 36",2,280.0,-375.0,8.0,-8.0,-108,-113,208.5,-108.0,-113.0,,,,,420.0,-475.0,10.0,-10.0,-107.0,-103.0,207.5,,,,,,,375.0,-500.0,10.0,-10.0,-110.0,-110.0,208.5,-113.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,8:00 PM ET,Fri,1/4/19 @ 8:00 PM ET,,Final,DAL,93,False,BOS,114,True,/assets/images/nba/logos/DAL.png,/assets/images/nba/logos/BOS.png,,,,,,,"Q1, Q2, Q3, Q4","34, 24, 26, 30","23, 28, 17, 25",2,-205.0,165.0,-5.5,5.5,-107,-114,,,,,,,,-165.0,155.0,-5.0,5.0,108.0,-128.0,213.0,,,,,,,-175.0,143.0,-4.0,4.0,-112.0,-109.0,212.5,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,8:00 PM ET,Fri,1/4/19 @ 8:00 PM ET,,F/OT,IND,119,True,CHI,116,False,/assets/images/nba/logos/IND.png,/assets/images/nba/logos/CHI.png,,,,,,,"Q1, Q2, Q3, Q4, OT","30, 28, 20, 27, 11","18, 36, 21, 30, 14",2,195.0,-245.0,6.0,-6.0,-110,-110,202.0,-112.0,-109.0,,,,,255.0,-280.0,7.5,-7.5,-117.0,-103.0,201.5,,,,,,,235.0,-295.0,7.0,-7.0,-109.0,-112.0,201.5,-110.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,8:00 PM ET,Fri,1/4/19 @ 8:00 PM ET,,Final,WAS,109,False,MIA,115,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/MIA.png,,,,,,,"Q1, Q2, Q3, Q4","31, 30, 34, 20","24, 34, 28, 23",2,-275.0,215.0,-6.5,6.5,-112,-108,214.5,-112.0,-109.0,,,,,-290.0,260.0,-7.0,7.0,-102.0,-118.0,212.5,,,,,,,-278.0,220.0,-7.0,7.0,-107.0,-114.0,212.0,-112.0,-109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,8:00 PM ET,Fri,1/4/19 @ 8:00 PM ET,,Final,ORL,103,False,MIN,120,True,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/MIN.png,,,,,,,"Q1, Q2, Q3, Q4","31, 33, 31, 25","40, 28, 17, 18",2,-200.0,163.0,-5.5,5.5,-107,-114,,,,,,,,-170.0,160.0,-4.5,4.5,100.0,-120.0,214.5,,,,,,,-186.0,150.0,-4.5,4.5,-112.0,-109.0,214.0,-112.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,8:00 PM ET,Fri,1/4/19 @ 8:00 PM ET,,Final,BKN,109,True,MEM,100,False,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/MEM.png,,,,,,,"Q1, Q2, Q3, Q4","26, 21, 30, 23","26, 22, 33, 28",2,-152.0,125.0,-3.5,3.5,-108,-113,,,,,,,,-165.0,155.0,-4.0,4.0,-107.0,-103.0,204.0,,,,,,,-182.0,148.0,-4.0,4.0,-112.0,-109.0,204.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,2019,RegularSeason,1/4/19,8:30 PM ET,Fri,1/4/19 @ 8:30 PM ET,,Final,ATL,112,False,MIL,144,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/MIL.png,,,,,,,"Q1, Q2, Q3, Q4","43, 33, 42, 26","14, 29, 36, 33",2,-1430.0,800.0,-13.5,13.5,-113,-108,231.0,-109.0,-112.0,,,,,-1000.0,800.0,-13.5,13.5,-102.0,-108.0,230.0,,,,,,,-835.0,550.0,-13.0,13.0,-110.0,-110.0,230.5,-109.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
