,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
0,2022,RegularSeason,2/3/22,7:00 PM ET,Thu,2/3/22 @ 7:00 PM ET,,Final,MIN,128,True,DET,117,False,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/DET.png,,,,,,,"Q1, Q2, Q3, Q4","32, 35, 27, 23","31, 34, 38, 25",1,190,-235,5.5,-5.5,-110,-110,,,,,,,,256,-328,7.5,-7.5,-110,-110,226.0,-113,-109,,,,,250,-320,7.0,-7.0,-105,-115,226.5,-110,-110,,,,,270,-335,8.0,-8.0,-110,-110,225.5,-110,-110,,,,,260,-335,7.5,-7.5,-110,-110,226.0,-113,-109,,,,,250,-320,7.5,-7.5,-110,-110,227.5,-110,-110,,,,,240,-300,7.5,-7.5,-110,-110,226.0,-110,-110,,,,,220,-278,6.5,-6.5,-110,-110,226.5,-115,-105,,,,,260,-335,7.5,-7.5,-110,-110,226.0,-113,-109,,,,
1,2022,RegularSeason,2/3/22,7:00 PM ET,Thu,2/3/22 @ 7:00 PM ET,,Final,MIA,112,True,SA,95,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/SA.png,,,,,,,"Q1, Q2, Q3, Q4","19, 28, 19, 29","21, 36, 31, 24",1,148,-180,4.0,-4.0,-109,-112,219.5,-112.0,-109.0,,,,,288,-366,8.5,-8.5,-110,-110,224.5,-108,-113,,,,,260,-335,8.5,-8.5,-110,-110,223.5,-110,-110,,,,,270,-335,8.0,-8.0,-106,-114,224.0,-110,-110,,,,,295,-375,8.5,-8.5,-110,-110,224.5,-108,-113,,,,,270,-340,8.5,-8.5,-110,-110,223.5,-110,-110,,,,,300,-375,8.5,-8.5,-110,-110,223.5,-110,-110,,,,,300,-385,8.5,-8.5,-110,-110,223.5,-115,-105,,,,,295,-375,8.5,-8.5,-110,-110,224.5,-108,-113,,,,
2,2022,RegularSeason,2/3/22,7:30 PM ET,Thu,2/3/22 @ 7:30 PM ET,,Final,PHO,115,False,ATL,124,True,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/ATL.png,,,,,,,"Q1, Q2, Q3, Q4","32, 32, 36, 24","30, 31, 30, 24",1,175,-210,5.0,-5.0,-110,-110,,,,,,,,127,-153,3.0,-3.0,-109,-112,229.0,-112,-110,,,,,135,-155,3.0,-3.0,-105,-115,229.0,-110,-110,,,,,120,-142,2.5,-2.5,-108,-112,228.5,-110,-110,,,,,130,-155,3.0,-3.0,-109,-112,229.0,-112,-109,,,,,130,-150,3.0,-3.0,-110,-110,229.0,-110,-110,,,,,130,-150,3.5,-3.5,-110,-110,228.5,-110,-110,,,,,115,-139,2.5,-2.5,-110,-110,228.5,-110,-110,,,,,130,-155,3.0,-3.0,-109,-112,229.0,-112,-109,,,,
3,2022,RegularSeason,2/3/22,7:30 PM ET,Thu,2/3/22 @ 7:30 PM ET,,F/OT,CHI,120,False,TOR,127,True,/assets/images/nba/logos/CHI.png,/assets/images/nba/logos/TOR.png,,,,,,,"Q1, Q2, Q3, Q4, OT","26, 28, 33, 27, 13","24, 26, 31, 33, 6",1,-135,115,-2.0,2.0,-110,-110,,,,,,,,-198,163,-4.5,4.5,-112,-110,223.0,-113,-110,,,,,-180,155,-4.0,4.0,-110,-110,223.0,-110,-110,,,,,-198,166,-4.5,4.5,-114,-106,222.0,-112,-108,,,,,-200,165,-4.5,4.5,-112,-109,223.0,-113,-109,,,,,-200,170,-4.5,4.5,-110,-110,223.0,-110,-110,,,,,-190,160,-5.0,5.0,-110,-110,222.0,-110,-110,,,,,-189,155,-4.5,4.5,-110,-110,223.5,-110,-110,,,,,-200,165,-4.5,4.5,-112,-109,223.0,-113,-109,,,,
4,2022,RegularSeason,2/3/22,10:00 PM ET,Thu,2/3/22 @ 10:00 PM ET,,Final,SAC,114,False,GS,126,True,/assets/images/nba/logos/SAC.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","34, 39, 21, 32","23, 31, 29, 31",1,-900,600,-13.0,13.0,-110,-110,221.0,-110.0,-110.0,,,,,-1182,730,-14.0,14.0,-112,-110,224.0,-110,-113,,,,,-1000,650,-13.5,13.5,-110,-110,224.5,-110,-110,,,,,-1200,750,-14.0,14.0,-110,-110,223.5,-110,-110,,,,,-1115,750,-14.0,14.0,-112,-109,224.0,-109,-113,,,,,-1100,700,-14.0,14.0,-110,-110,224.0,-110,-110,,,,,-1100,700,-13.5,13.5,-115,-105,224.0,-110,-110,,,,,-1111,675,-14.5,14.5,-110,-110,224.5,-110,-110,,,,,-1115,750,-14.0,14.0,-112,-109,224.0,-109,-113,,,,
5,2022,RegularSeason,2/3/22,10:00 PM ET,Thu,2/3/22 @ 10:00 PM ET,,Final,LAL,110,False,LAC,111,True,/assets/images/nba/logos/LAL.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","28, 32, 34, 17","26, 28, 28, 28",1,-140,120,-2.5,2.5,-110,-110,218.0,-110.0,-110.0,,,,,-172,141,-4.0,4.0,-110,-111,219.0,-112,-110,,,,,-155,135,-4.0,4.0,-105,-115,219.0,-110,-110,,,,,-184,154,-4.0,4.0,-110,-110,219.0,-110,-110,,,,,-175,143,-4.0,4.0,-110,-110,219.0,-112,-109,,,,,-160,140,-3.5,3.5,-110,-110,219.0,-110,-110,,,,,-170,140,-4.0,4.0,-105,-115,219.0,-110,-110,,,,,-161,135,-3.5,3.5,-110,-110,219.5,-110,-110,,,,,-175,143,-4.0,4.0,-110,-110,219.0,-112,-109,,,,
