,Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
0,2020,RegularSeason,2/24/20,7:00 PM ET,Mon,2/24/20 @ 7:00 PM ET,,F/OT,MIA,119,False,CLE,125,True,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/CLE.png,,,,,,,"Q1, Q2, Q3, Q4, OT","21, 35, 24, 31, 14","29, 39, 31, 12, 8",1,194.0,-235.0,5.5,-5.5,-110,-110,,,,,,,,210,-264,6.5,-6.5,-109,-112,222.0,-112,-109,,,,,210,-265,6.5,-6.5,-108,-113,222.0,-112,-109,,,,,210,-260,6.5,-6.5,-110,-110,221.5,-110,-110,,,,,210,-265,6.5,-6.5,-108,-113,222.0,-112,-109,,,,,,,,,,,,,,,,,,215,-270,6.5,-6.5,-105,-105,221.5,-110,-110,,,,,200,-250,6.5,-6.5,-115,-105,222.5,-110,-110,,,,,,,,,,,,,,,,,
1,2020,RegularSeason,2/24/20,7:00 PM ET,Mon,2/24/20 @ 7:00 PM ET,,Final,ATL,112,False,PHI,129,True,/assets/images/nba/logos/ATL.png,/assets/images/nba/logos/PHI.png,,,,,,,"Q1, Q2, Q3, Q4","41, 28, 22, 38","24, 28, 40, 20",1,-320.0,260.0,-7.5,7.5,-110,-110,,,,,,,,-390,306,-8.5,8.5,-110,-110,227.5,-113,-108,,,,,-385,310,-8.5,8.5,-110,-110,227.5,-113,-108,,,,,-380,300,-8.0,8.0,-105,-115,227.0,-110,-110,,,,,-385,310,-8.5,8.5,-110,-110,227.5,-113,-108,,,,,,,,,,,,,,,,,,-420,320,-8.5,8.5,-105,-105,227.0,-110,-110,,,,,-385,300,-8.5,8.5,-110,-110,226.5,-120,100,,,,,,,,,,,,,,,,,
2,2020,RegularSeason,2/24/20,7:00 PM ET,Mon,2/24/20 @ 7:00 PM ET,,F/OT,MIL,137,True,WAS,134,False,/assets/images/nba/logos/MIL.png,/assets/images/nba/logos/WAS.png,,,,,,,"Q1, Q2, Q3, Q4, OT","25, 22, 35, 41, 11","30, 27, 38, 28, 14",1,570.0,-850.0,12.5,-12.5,-110,-110,240.5,-110.0,-110.0,,,,,638,-942,13.0,-13.0,-110,-110,244.0,-108,-112,,,,,650,-910,13.0,-13.0,-110,-110,244.0,-108,-112,,,,,650,-950,12.5,-12.5,-110,-110,244.0,-110,-110,,,,,650,-910,13.0,-13.0,-110,-110,244.0,-108,-112,,,,,,,,,,,,,,,,,,700,-1075,13.0,-13.0,-105,-105,243.0,-110,-118,,,,,600,-909,12.5,-12.5,-105,-115,242.5,-110,-110,,,,,,,,,,,,,,,,,
3,2020,RegularSeason,2/24/20,7:30 PM ET,Mon,2/24/20 @ 7:30 PM ET,,Final,ORL,115,True,BKN,113,False,/assets/images/nba/logos/ORL.png,/assets/images/nba/logos/BKN.png,,,,,,,"Q1, Q2, Q3, Q4","27, 27, 33, 26","22, 19, 40, 34",1,-146.0,124.0,-3.0,3.0,-110,-110,211.0,-110.0,-110.0,,,,,-165,138,-3.5,3.5,-112,-109,213.0,-112,-110,,,,,-162,135,-3.5,3.5,-112,-109,213.0,-112,-109,,,,,-174,148,-3.5,3.5,-115,-105,212.5,-110,-110,,,,,-162,135,-3.5,3.5,-112,-109,213.0,-112,-109,,,,,,,,,,,,,,,,,,-170,145,-4.0,4.0,100,-110,213.0,-110,-110,,,,,-167,140,-3.5,3.5,-110,-110,214.5,-105,-115,,,,,,,,,,,,,,,,,
4,2020,RegularSeason,2/24/20,8:00 PM ET,Mon,2/24/20 @ 8:00 PM ET,,Final,NY,112,False,HOU,123,True,/assets/images/nba/logos/NY.png,/assets/images/nba/logos/HOU.png,,,,,,,"Q1, Q2, Q3, Q4","36, 36, 29, 22","33, 24, 29, 26",1,-1200.0,690.0,-14.0,14.0,-110,-110,230.0,-110.0,-110.0,,,,,-843,590,-12.0,12.0,-110,-110,225.5,-108,-113,,,,,-835,600,-12.0,12.0,-110,-109,225.5,-108,-113,,,,,-800,560,-12.0,12.0,-110,-110,225.0,-110,-110,,,,,-835,600,-12.0,12.0,-110,-109,225.5,-108,-113,,,,,,,,,,,,,,,,,,-850,590,-12.0,12.0,-105,-105,225.5,-105,-115,,,,,-1250,750,-14.5,14.5,-110,-110,227.5,-115,-105,,,,,,,,,,,,,,,,,
5,2020,RegularSeason,2/24/20,8:30 PM ET,Mon,2/24/20 @ 8:30 PM ET,,Final,MIN,123,False,DAL,139,True,/assets/images/nba/logos/MIN.png,/assets/images/nba/logos/DAL.png,,,,,,,"Q1, Q2, Q3, Q4","41, 40, 29, 29","27, 38, 31, 27",1,-800.0,570.0,-12.5,12.5,-110,-110,,,,,,,,-1353,778,-13.5,13.5,-112,-110,239.0,-110,-112,,,,,-1430,800,-13.5,13.5,-112,-110,239.0,-109,-112,,,,,-1200,690,-13.5,13.5,-110,-110,238.5,-110,-110,,,,,-1430,800,-13.5,13.5,-112,-110,239.0,-109,-112,,,,,,,,,,,,,,,,,,-1100,720,-14.0,14.0,100,-110,239.0,-110,-110,,,,,-1000,650,-13.5,13.5,-110,-110,238.5,-110,-110,,,,,,,,,,,,,,,,,
6,2020,RegularSeason,2/24/20,9:00 PM ET,Mon,2/24/20 @ 9:00 PM ET,,Final,PHO,131,True,UTA,111,False,/assets/images/nba/logos/PHO.png,/assets/images/nba/logos/UTA.png,,,,,,,"Q1, Q2, Q3, Q4","35, 27, 26, 23","27, 35, 37, 32",1,,,-7.5,7.5,-105,-105,223.5,-115.0,-105.0,,,,,-350,271,-8.0,8.0,-110,-110,224.0,-112,-109,,,,,-345,265,-8.0,8.0,-110,-110,224.0,-112,-109,,,,,-360,290,-8.5,8.5,-110,-110,224.0,-110,-110,,,,,-345,265,-8.0,8.0,-110,-110,224.0,-112,-109,,,,,,,,,,,,,,,,,,-390,295,-8.5,8.5,-105,-105,224.5,-110,-110,,,,,-357,275,-7.5,7.5,-115,-105,223.5,-120,100,,,,,,,,,,,,,,,,,
7,2020,RegularSeason,2/24/20,10:30 PM ET,Mon,2/24/20 @ 10:30 PM ET,,Final,MEM,97,False,LAC,124,True,/assets/images/nba/logos/MEM.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","40, 26, 24, 34","14, 23, 29, 31",1,-410.0,320.0,-9.0,9.0,-110,-110,,,,,,,,-639,474,-11.0,11.0,-110,-110,235.5,-109,-113,,,,,-625,480,-11.0,11.0,-110,-110,235.5,-108,-113,,,,,-700,500,-11.0,11.0,-110,-110,235.5,-110,-110,,,,,-625,480,-11.0,11.0,-110,-110,235.5,-108,-113,,,,,,,,,,,,,,,,,,-650,470,-11.0,11.0,-105,-105,235.0,-115,-105,,,,,-625,450,-10.5,10.5,-115,-105,234.5,-115,-105,,,,,,,,,,,,,,,,,
